temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
-1.8,4.6,290,80,4.3,-4.8,1013.4,1021.1,,,9,4
33.1,1.8,290,47,23.7,20.2,1002.8,1008.8,0.5,2.3,6,3
16,5.8,320,20,3.6,-6.9,995.3,1014.7,1,,0,0
18.8,0.9,200,94,20.4,17.8,998.2,1006,,,10,1
28.5,1.5,270,67,26,21.7,1005.6,1008.7,,,0,0
27.8,2,90,68,25.3,21.3,1011.4,1011.7,,,8,3
25.6,2.4,180,91,29.8,24,1004.8,1015.7,0,0.36,10,1
13.6,6.2,340,63,9.7,6.6,1009.7,1017.6,,,0,2
7,2.2,340,43,4.3,-4.7,1017.7,1024.1,0.5,0.76,6,1
18.9,3.5,340,46,10,7,1021.9,1023.1,1,2.1,4,0
12.7,3,360,78,11.4,8.9,1003,1007.2,0.3,0.31,0,0
22.6,0.4,0,69,18.9,16.6,993.1,1016.3,0.7,,6,3
5.2,3,20,83,7.3,2.5,1020.6,1025.6,0.1,1.02,8,3
0.6,1.5,200,66,4.2,-5,1020.5,1027.2,0,0.01,8,3
23.2,0.2,0,74,21,18.3,999.1,1012.4,,,0,0
2,0.8,70,91,6.4,0.6,991.3,1000.6,,,2,0
29.1,5.5,230,70,28.1,23,1004.7,1007,,,5,1
29.7,2.6,70,79,32.8,25.6,1004.2,1007.3,1,1.69,0,2
25.7,5.2,200,90,29.7,23.9,1006.5,1010.6,,,4,2
6.6,0.5,50,54,5.3,-2,1010.8,1027.3,,,10,3
22.1,3.6,20,72,19.1,16.8,985,1008,0,,9,3
0.7,2.4,270,78,5,-2.7,1017.9,1024,,,2,0
22.3,1.3,110,92,24.7,20.9,997.7,1002.3,,,10,1
31.3,1.6,200,53,24.1,20.5,978.4,1012.8,0.6,,8,3
2.6,5.8,360,67,4.9,-2.9,1021.7,1026.3,,,0,2
15.1,4.3,180,49,8.4,4.4,1016.4,1016.8,0.6,0.57,7,3
20.3,2.2,50,85,20.1,17.6,1005.1,1013,0,0.62,10,3
23.9,1.4,160,89,26.3,21.9,995.1,1002.9,,,0,0
20.9,2.6,270,52,12.8,10.6,1008.2,1012.8,0.7,0.39,1,0
2.6,4.4,360,64,4.7,-3.5,1025.7,1028.3,,,9,4
13.5,1.7,320,55,8.5,4.6,1006.1,1015.8,0,0.01,0,0
-6,0.2,0,80,3.1,-8.8,1022.7,1033.8,1,,0,0
25.4,1.6,230,65,21,18.3,993.8,999.1,0.4,,2,0
-12,0.3,0,67,1.6,-16.8,1015.9,1026.6,,,0,0
7.3,2.6,70,65,6.6,1.1,1021.3,1026.4,,,9,3
19.6,3,90,70,15.9,13.9,990.5,1018.9,,,9,3
7.9,2.6,90,64,6.8,1.4,1002.3,1023.1,,,10,3
25.5,0,0,92,29.8,24,996.1,1015.7,,,5,0
17.9,3.3,90,99,20.2,17.7,1007.7,1015.8,,,10,1
10,2.9,200,45,5.5,-1.4,1004.9,1015.3,0,0.01,0,2
20.5,2.2,70,82,19.7,17.3,1010.6,1020.1,0.1,,9,3
20.7,2.9,90,86,20.9,18.2,1003.5,1006.7,,,9,3
0.8,2.6,70,47,3,-9.2,1017.1,1028,,,6,3
13.6,2.4,70,57,8.8,5.2,1024.1,1027.5,0,0.99,9,3
-2.9,2,290,58,2.9,-10,1018.3,1027.2,0.3,1.13,9,3
25.4,0.3,0,90,29.1,23.6,998.6,1009.6,,,0,0
23.8,1.1,320,68,20,17.5,1001.8,1008.7,,,9,3
12,0.6,90,83,11.6,9.1,1019.6,1026.2,0,0.86,9,2
5.3,0.2,0,79,7,1.9,996.7,1007.7,,,0,0
8.2,0.1,0,95,10.3,7.4,1008.9,1018.8,,,0,2
19,7.8,160,97,21.3,18.5,992.5,1001.2,0,0.7,10,2
25.7,5.4,230,74,24.4,20.7,1000.3,1001.4,1,,1,0
26.5,1.3,110,66,22.8,19.6,990.8,1006.7,0,1.34,9,3
23.3,6,230,42,11.9,9.6,1011.9,1017.1,1,3.09,8,3
6.2,0.8,180,51,4.8,-3.2,1022.9,1025.5,0,0,7,3
28.3,8.5,250,14,5.4,-1.7,998.5,1000.8,1,2.58,0,2
-3,0,0,97,4.8,-3.4,1023.5,1025.6,,,0,0
30,7.2,50,68,28.8,23.4,1007.7,1010,0.8,2.46,6,1
5.4,0.4,0,97,8.7,4.9,1004.7,1022.2,0,0,10,2
14.9,0.5,290,91,15.4,13.4,1007.2,1017.7,,,5,0
29.3,2,160,66,26.8,22.2,1006.3,1010.9,1,,0,0
4.2,1.2,200,72,5.9,-0.4,1019.6,1024.1,,,9,3
7.1,6.2,50,81,8.1,4,1013.7,1014.9,0,0.43,10,3
27.6,0.4,0,80,29.5,23.8,1013,1013.9,,,0,0
-0.5,0.1,0,91,5.4,-1.7,1005.6,1024.9,,,0,0
16.9,0.2,0,94,18.1,15.9,1014.4,1019.1,0.1,0.04,1,2
32.1,1.2,20,64,30.6,24.4,995.9,1001.2,0.7,,8,3
13.5,2.6,270,38,5.9,-0.5,999.4,1006.4,0.4,2.51,7,3
23.8,1.1,340,92,27.1,22.4,999.7,1002.9,0,0.34,10,1
25.8,0.8,90,80,26.4,22,1002.1,1003.2,,,10,3
7.1,0.2,0,96,9.7,6.5,994.2,1018.8,,,9,3
14.7,1.3,200,53,8.8,5.2,1010,1019.6,,,0,0
27.2,2.2,90,71,25.5,21.4,1003.9,1013.9,0.6,0.56,6,3
23.9,3.6,180,15,4.4,-4.3,971.3,1006.3,1,,0,0
2.4,0,0,87,6.3,0.4,1028.9,1029.3,,,0,0
19.2,2.2,290,51,11.3,8.8,1015.3,1021.3,0.2,0.25,3,0
12,1.1,230,65,9.1,5.6,1011.2,1014.4,,,0,0
21,0.1,0,87,21.6,18.7,1009.6,1016,0.8,0.4,0,0
2.7,0.8,290,77,5.7,-0.9,995.9,1024.3,,,0,0
12.9,0.9,20,55,8.1,4,1010.5,1016.7,0.9,0.31,0,0
4.3,0.3,0,46,3.8,-6.3,1015.5,1025.7,0,0.01,7,3
2.7,1.6,230,92,6.8,1.5,1020.7,1029.4,,,0,2
21.1,2.6,70,54,13.5,11.4,1008.9,1014.2,1,,6,3
10.5,0.3,0,55,7,1.8,999.8,1007.1,,,0,2
10.8,6.3,290,49,6.3,0.4,1002.3,1019,0.7,,0,0
-3.1,4.9,320,62,3,-9.3,1023.4,1025.5,,,10,3
30.3,1,250,43,18.5,16.3,993.7,1010.4,1,2.59,0,0
24.9,1.3,180,87,27.2,22.5,996,1003.5,0,0.01,7,3
-2.6,5.7,360,62,3.1,-8.8,1013.5,1021.9,,,8,4
26.9,3.9,180,85,30,24.1,1006.1,1010.2,0.3,0.81,8,3
26.8,1.3,360,77,27.1,22.4,1001.5,1006.6,0.7,,7,3
-4.5,0.1,0,90,4,-5.8,1024.5,1026.2,,,4,0
16.3,5.4,180,66,12.2,9.9,1000.7,1006,0,0.15,10,1
5,1.5,50,76,6.6,1.1,994.9,1019.8,,,10,3
28.3,0.6,180,81,31.1,24.7,1010.6,1013.9,0,0,7,3
11.2,0.7,70,79,10.4,7.6,1004.7,1012.6,,,9,2
-3.6,1.1,270,34,1.6,-17.2,1024.7,1030.8,,,0,0
7.1,1.3,50,82,8.2,4.2,990.2,1020.3,,,2,0
21,4.4,250,48,11.9,9.5,1002.8,1006.3,1,2.32,7,3
12,0.9,50,74,10.4,7.5,1018.2,1025.3,0,0.16,9,3
4.1,0.2,0,78,6.4,0.6,1016.1,1023.4,0,0.66,9,1
3.1,4.3,320,17,1.3,-19.6,1003.5,1024.1,1,,0,0
33,3,160,63,31.7,25,1003.5,1007.6,1,2.83,4,0
-1.6,0.8,320,81,4.4,-4.4,1017.2,1025.9,,,9,2
-1.8,0.9,20,39,2.1,-13.9,1020.1,1023.9,,,0,0
-1.7,3.1,270,85,4.6,-3.8,1013.1,1024,,,10,4
27.1,1.2,340,84,30,24.1,1001.8,1006,0,0.09,0,0
8.9,0.1,0,35,4,-5.7,1013.8,1021,,,0,0
10.1,1.8,50,63,7.7,3.3,1019.9,1026.3,0.2,0.84,6,1
22.3,2.7,140,72,19.4,17,1005.3,1012.3,0,0.34,10,1
0.5,2.5,270,84,5.4,-1.8,1018.8,1022.3,,,10,4
27.9,1.3,90,59,22.1,19.1,1010.1,1011.7,1,2.52,6,3
17.3,2.1,340,31,6.1,0,999.2,1017.1,0.3,1.54,7,3
-1.2,4.4,320,80,4.5,-4.2,996.2,1024.1,0,0.02,8,4
26.6,2.7,250,90,31.3,24.8,1011.9,1014.2,,,2,0
2.9,0.1,0,81,6.1,0,1018.2,1023.7,,,8,3
26.5,0.6,270,72,24.9,21,1006,1012.7,,,7,3
-3.8,8.2,340,56,2.6,-11.3,1018.1,1022.7,0.1,0.81,10,4
20.1,0.9,140,90,21.2,18.4,1010,1014.2,,,6,2
0.5,1.5,290,95,6,-0.2,1006.4,1022.7,,,0,0
18.7,0.2,0,99,21.3,18.5,1009.6,1020.1,,,0,0
35.5,2.6,110,52,30,24.1,1006.3,1010.2,1,2.95,2,0
22.1,2.4,90,66,17.5,15.4,1012.5,1018.1,1,,0,0
13.2,1.3,110,74,11.2,8.6,1007.7,1018,0,0.51,7,2
23.1,0,0,94,26.4,22,1017.6,1017.9,,,6,2
24.3,1,160,92,27.9,22.9,1006.7,1009.9,0,0,3,2
9,4.9,290,70,8,3.8,1016.9,1021.3,1,3.13,0,2
23.5,0.3,0,100,28.8,23.4,1007.1,1010.6,,,0,0
22.2,1.2,160,98,26.1,21.8,994.5,1003.1,,,6,1
7.5,0.2,0,96,9.9,6.8,1016.4,1022.2,,,6,3
-2.5,6.8,360,42,2.1,-13.6,1021,1025.3,0.9,1.91,5,0
16.6,1.6,180,78,14.7,12.7,961.8,1008.6,,,0,0
11.8,2.3,110,55,7.6,3,1001.3,1009.6,0,0.26,10,1
-5,0.7,70,75,3.2,-8.7,997.6,1029.3,0,,9,3
-1.5,4.4,290,19,1,-22.1,1007.7,1017.3,1,1.8,1,0
16.6,5.4,200,82,15.5,13.5,1000.2,1005.4,0,0.2,10,1
17.5,1.2,50,83,16.5,14.5,990.8,1019.3,,,9,3
-2.1,3,290,52,2.7,-10.6,985.8,1013.5,,,7,4
5.5,0.4,0,68,6.1,0,1023.4,1030.2,,,0,0
30.6,2,270,58,25.3,21.3,992.1,1001.6,0,1.16,10,1
13.4,2.6,110,77,11.8,9.4,1000.6,1006.4,1,,0,0
19.6,0.6,290,84,19.1,16.8,999.5,1008.9,,,0,2
31.8,1.6,360,60,28.1,23,1000,1001.9,0,0.36,8,3
19.1,2.6,230,96,21.2,18.4,976.3,1001.6,0,0.08,10,2
24.7,1.9,140,97,30,24.1,1001.7,1009.4,0,0.38,10,1
17,1.5,340,86,16.6,14.6,1009.9,1012,,,6,3
7.2,0.2,0,92,9.3,5.9,1022.7,1027.7,0.5,0.2,2,2
18.4,0.9,270,93,19.6,17.2,998.1,1008.5,,,0,0
28.8,4.2,160,90,35.4,26.9,1007.1,1015.6,0.6,1.54,8,2
15.6,0.7,200,85,15,13,1010.3,1013.5,,,8,3
18.5,0.6,140,84,17.8,15.7,1004.2,1015.4,0,0.67,10,2
8.4,0,0,91,10,7,1001.8,1018.9,,,2,0
17.4,8.1,180,67,13.3,11.2,1006,1014.9,1,1.7,1,0
23.4,0.2,0,82,23.5,20.1,1003,1009.9,0.1,0.33,7,2
-10.9,0.3,0,84,2.3,-13,978.3,1031.2,,,0,0
-1.1,2.9,50,75,4.2,-4.9,990.3,1018.1,0,0,9,4
2.5,2,20,91,6.6,1.1,1011.6,1022.4,,,10,1
6.3,1,110,66,6.3,0.4,999.6,1013.7,,,0,0
1.1,2.4,290,61,4.1,-5.5,1019.4,1025.6,,,0,0
18.1,1.2,230,63,13,10.9,1011,1021.6,0.4,1.62,8,3
26.3,2.5,200,86,29.3,23.7,980.4,1008.1,0.6,,9,3
22.7,2.6,200,83,22.8,19.6,1004.7,1011.7,0,0.23,10,1
13.6,1.4,50,85,13.2,11.1,1014.6,1015.8,,,0,0
4.5,5.4,250,56,4.7,-3.5,1005.9,1012.6,0.1,0.94,8,4
-0.6,3.3,180,63,3.7,-6.7,1010.8,1019.6,0.7,1.34,9,4
-6.3,0,0,83,3.2,-8.7,999.5,1020.8,,,0,0
23.1,0.1,0,95,26.8,22.2,1001,1001.3,,,9,2
6,0.6,320,81,7.5,2.9,997.2,1018.4,0,,0,0
9.9,0.2,0,92,11.2,8.6,1015.3,1015.7,,,0,2
8.1,1.2,20,61,6.6,1,1019.1,1022.2,0.5,1,7,3
24.9,0,0,95,29.8,24,1009.1,1012.1,,,8,3
29.7,1.7,70,75,31.1,24.7,997.4,999.7,0,0.03,10,1
22.1,3.1,90,84,22.2,19.2,997.6,1007.4,,,10,1
24.6,1.2,230,88,27.1,22.4,1000.7,1005.2,0.3,0.3,5,2
3.2,0,0,90,6.9,1.7,1002.2,1019.8,,,10,1
25,8.7,230,19,6,-0.2,998.6,1001,1,0.64,0,2
17.8,0.8,360,93,18.9,16.6,988,1011.5,,,9,3
21.4,0.8,250,79,20,17.5,1004.3,1008.9,1,1.14,0,2
21.9,0.2,0,70,18.3,16.1,1008.7,1014.2,0,,0,0
-0.9,0.3,0,81,4.6,-3.7,1025.8,1027.9,,,10,3
3,1.5,340,83,6.2,0.3,1004,1020.6,,,9,3
7.1,3.7,320,74,7.4,2.7,1015.1,1021.6,,,8,3
-3.2,2.9,20,79,3.8,-6.3,1014.5,1023.4,0.4,0.23,0,2
4.8,1.4,230,54,4.6,-3.7,1017.9,1023,,,8,3
29.3,1.4,90,76,30.9,24.6,999.3,1004.7,0.3,,10,3
23.1,3,230,25,7,1.9,1006.7,1010.6,1,3.04,0,0
0.6,1.4,320,95,6.1,-0.1,1014.3,1022.9,,,9,2
14.4,2.7,250,90,14.7,12.7,993.9,1004,0,0.11,10,2
-8.8,2.8,270,44,1.4,-18.8,1021,1032.3,,,0,0
19.7,2.2,200,36,8.2,4.1,1007.7,1008.7,0.5,,7,3
8.9,5.1,20,73,8.3,4.3,1022.9,1023.3,0,0.52,10,1
12.7,3.2,230,71,10.4,7.5,1011,1017.2,,,0,2
34.1,2.5,180,39,20.8,18.1,995.3,1000.5,1,,5,0
25.1,3.1,160,96,30.6,24.4,1005.5,1010,,,10,1
7.5,2,20,87,9,5.4,1015.7,1020,0,0.27,10,1
9.5,3.8,270,37,4.4,-4.4,1015.4,1015.8,1,1.51,2,2
-1.7,0.9,90,57,3.1,-9.1,1010.3,1029.5,,,0,0
8.3,0.7,140,94,10.2,7.3,997.7,1014.9,0,0.13,10,2
23.7,0.5,110,88,25.6,21.5,1000.8,1004,0.8,0.37,6,2
-3.8,0.5,180,77,3.6,-7.2,994.8,1026.3,,,9,3
32.8,2.2,250,43,21.3,18.5,995.8,1004.8,1,,0,0
1.2,2.8,270,18,1.2,-20.5,1019,1025.2,1,,0,0
26.7,1.1,50,55,19.2,16.9,1004.1,1011,1,0.45,2,0
-4.5,8,340,57,2.5,-11.7,1023.9,1028.6,0.3,0.7,10,4
6.8,0.4,0,67,6.6,1,1000.7,1017.6,1,,0,0
-6.5,5.1,340,62,2.3,-12.5,1023.8,1028.5,,,9,4
17.4,0.8,50,92,18.2,16,996.8,1006.3,0,0.31,9,2
4,3.5,70,44,3.6,-7.1,1027,1029.6,,,7,3
24.3,12,160,93,28.1,23,992.8,1001.3,0,0.75,10,2
13.6,2.2,320,33,5.2,-2.3,1005.7,1021.7,1,,5,0
1.9,1.5,200,52,3.6,-6.9,1024.5,1024.9,,,6,3
17,1.2,200,97,18.8,16.5,998.7,1006.9,0,0.14,10,2
26.7,1.7,160,75,26.1,21.8,1002.9,1003.8,0,0.51,10,3
30.1,1.9,110,72,30.6,24.4,976.3,999.2,0.9,1.67,3,0
16.2,0.1,0,96,17.6,15.5,1007,1018.4,,,10,2
10.4,0.4,0,95,11.9,9.6,1019.1,1024.6,,,2,0
10,4.5,250,48,5.9,-0.5,1002.3,1008.9,0.7,1.03,7,1
4.4,1,160,93,7.7,3.3,973.7,1011.6,,,9,3
11,0.9,270,97,12.7,10.5,1010.9,1015.3,,,10,2
6,5,90,86,8,3.8,1021.6,1021.8,,,10,3
24.7,1.5,270,91,28.3,23.1,1001.9,1009.4,,,0,2
1.1,0.9,230,88,5.8,-0.6,1013.9,1018.9,,,0,2
10.2,0.6,110,87,10.8,8.1,1017.3,1018.5,,,0,0
26.8,1.2,270,94,33,25.7,1014.1,1014.3,,,0,0
19.4,6.4,160,98,22,19,1003.4,1012.2,,,10,2
3.8,0.9,20,66,5.3,-1.9,1005.2,1023.9,1,0.94,4,0
18.5,1.3,270,88,18.6,16.4,1005.2,1015.3,,,9,2
25.1,2.4,20,82,26.1,21.8,1009,1011.4,0,0.37,9,1
28.8,1.3,250,83,32.8,25.6,986.1,1001.8,0,0.7,10,1
6.2,0,0,58,5.5,-1.4,1010.2,1019.6,,,0,0
10.2,0.1,0,98,12.1,9.8,998.5,1019.2,,,0,0
15.5,3,160,70,12.3,10,1003.6,1010.6,,,0,0
3.4,5.3,230,89,6.9,1.7,975.4,1007.6,,,10,3
20.2,3.5,250,80,18.9,16.6,1006,1014.1,,,0,2
34.7,1.3,160,44,24.3,20.6,993.4,1002.3,1,2.51,0,0
15.7,0.6,110,82,14.6,12.6,1004.3,1011.5,,,0,2
25.6,1.4,230,97,31.7,25,999.7,1009.7,0,0.53,9,3
8.5,2.9,110,37,4.1,-5.3,1007.3,1016.5,1,0.8,0,0
25.2,7.7,140,97,30.9,24.6,1003.9,1012.5,,,9,2
19,0.8,340,94,20.6,18,1006.8,1013.2,,,10,2
-0.8,1.3,360,65,3.8,-6.5,1019.6,1020.9,0,0.19,9,3
2.3,0.2,0,88,6.3,0.5,996.7,1021.9,,,0,0
-5.3,0.4,0,92,3.8,-6.4,1010.9,1023.3,,,0,2
2,3.7,290,41,2.9,-9.9,1012.1,1019.5,0.4,1.13,8,4
0.1,3.7,50,26,1.6,-17.1,1017.2,1021.6,1,1.6,0,0
12.8,3.4,250,9,1.3,-19.3,1020.1,1020.6,1,1.58,6,3
26.1,0,0,95,32.1,25.2,996,1006.8,0,0.05,10,2
24.7,1.7,360,54,16.7,14.7,987.2,1004.4,0.5,0.36,0,0
6.3,5.6,160,84,8,3.7,1002.8,1011.3,0,0.12,10,1
15.2,3.4,230,39,6.7,1.3,1003.4,1013.6,1,3.22,0,0
20.3,0.3,0,88,20.9,18.2,1012.4,1018.5,,,10,1
10.3,0.6,110,96,11.9,9.6,990.4,1009,0.6,0.25,0,0
20.8,1.5,200,68,16.6,14.6,1001.4,1010.8,1,0.93,7,3
23.4,0.5,320,93,26.6,22.1,995.1,1014.7,0,,6,3
33,2.3,50,56,28.1,23,999.6,1003,1,3.36,0,0
-1.6,1.4,340,60,3.3,-8.3,1025,1028.9,,,0,0
2.5,4.1,360,19,1.4,-18.8,1021,1022.8,1,2.06,7,3
21.7,1.7,70,64,16.5,14.5,1012.3,1014.7,0,0.48,10,1
-0.1,0.7,110,91,5.6,-1.3,1006.7,1021.2,,,9,3
24.4,0.1,0,85,26,21.7,972.8,1007.8,0.1,,0,0
-0.5,0.6,140,96,5.7,-1,1023.3,1030.3,0,0,0,2
19.3,0.8,180,55,12.3,10,993.9,1010.2,0,,6,3
24.7,0.8,140,45,13.9,11.9,1007.3,1017.6,1,3.18,0,0
16.3,1.7,340,45,8.3,4.3,1014,1017.6,1,2,0,0
3.6,0.8,200,52,4.1,-5.3,1004.9,1015.5,,,9,4
11.7,3.5,320,25,3.4,-7.7,1014.9,1021.2,1,2.31,0,0
6.9,3.3,250,33,3.3,-8.2,1010.1,1027.4,,,5,0
12.6,0.5,340,83,12,9.7,1003.5,1007,0,0.61,10,3
7.3,0.2,0,53,5.4,-1.6,1007.2,1021.4,,,0,0
20.4,2.4,160,83,19.9,17.4,1008.8,1017,,,10,1
23.8,2.2,200,85,25,21.1,1007.3,1015.5,,,9,3
32.6,2.6,250,52,25.5,21.4,995,1010.6,1,3.45,4,0
18.3,3.2,90,67,14,12,1023.7,1024.2,0.4,0.41,10,1
19,3.1,200,87,19,16.7,993.3,1002.7,,,0,2
7.9,0,0,96,10.2,7.2,999,1010.6,0,0.03,10,2
7.4,1.5,270,38,3.9,-6,1020.3,1027.6,0.2,1.25,8,4
6.2,0.2,0,68,6.4,0.7,1013.7,1020.4,,,0,2
14.6,3.3,270,88,14.6,12.6,1009.1,1011.6,,,2,2
21.6,4.6,360,94,24.1,20.5,1011.9,1017.1,0,0.2,9,3
2.6,1.7,250,72,5.3,-1.9,1016.6,1025.3,,,9,2
5.4,3.7,290,92,8.2,4.1,1011.1,1021.2,,,9,1
-0.1,0,0,90,5.5,-1.5,1020.7,1024.4,,,0,0
11.9,7.5,160,97,13.5,11.4,1002.9,1011.9,,,10,2
28,3.3,200,94,35.4,26.9,998.6,1003.6,,,7,2
2.1,1.4,180,51,3.6,-7,1005.2,1016.4,,,6,3
5.2,2.6,230,77,6.8,1.4,1013,1021.6,0.7,1.74,6,2
31,1.4,200,58,26,21.7,970.7,1006.2,0.8,,4,0
3.4,2.9,270,23,1.8,-15.8,1008.6,1020.7,0.7,0.4,0,0
1,0.4,0,91,6,-0.3,1016.6,1025.3,,,0,0
6.8,1.9,320,53,5.2,-2.1,1009.8,1025.8,0,0.16,5,0
22,0.4,0,94,24.7,20.9,999.5,1004.8,,,3,0
0.6,2.8,270,77,4.9,-2.9,1005.3,1012.7,0,0.36,10,4
27.7,0.6,250,76,28.1,23,1006.5,1013.2,,,10,3
11.6,4.7,250,98,13.3,11.2,992.3,1000.5,0,0.72,9,2
22.2,0.9,250,91,24.3,20.6,1004.8,1008,0,0.36,10,2
1.4,0.1,0,89,6,-0.2,1010.7,1019.2,,,9,2
5.9,9.4,50,91,8.4,4.5,979.6,1006.3,,,10,1
27.4,3.3,230,76,27.6,22.7,1006.6,1007,0,0.75,10,1
22.6,1.4,180,95,26,21.7,994.4,998.4,,,10,1
5.1,3.4,90,81,7.1,2.1,1011.3,1019.7,,,10,1
6,2.3,20,75,7,1.8,1012.2,1020.9,,,0,2
23.5,1.4,160,17,4.9,-2.9,1008.3,1009.3,1,,0,0
28.5,1,270,88,34.2,26.3,990.8,999.2,0,0.1,10,1
8.1,1.2,270,58,6.2,0.3,1013.5,1020.7,,,9,3
22.5,6.4,180,97,26.3,21.9,999.4,1003.5,0,0.73,8,2
23.6,2.2,50,93,26.9,22.3,1000.5,1010.3,,,10,1
17.3,2.5,70,90,17.7,15.6,1007.4,1012.7,0.9,0.95,5,2
12.7,5.9,160,90,13.1,11,1008.2,1012.5,,,0,2
24.1,1,290,97,28.9,23.5,1010,1014.6,,,6,2
24.1,2.9,270,60,17.9,15.8,986,994.5,0.5,1.57,7,1
23.7,1.4,250,95,27.7,22.8,992.6,1011.4,,,0,0
1.3,5.9,320,78,5.2,-2.1,1006.2,1014.8,0,0.91,8,4
30.6,1.2,70,76,33.2,25.8,1001.3,1007.1,0.3,1.42,7,1
-0.6,0.9,230,86,5,-2.6,1016.3,1025.3,,,9,2
6.8,2.1,140,91,9,5.4,1000.6,1009,,,4,2
16.6,4.5,270,36,6.8,1.4,1003.6,1012.5,,,0,0
29.5,1.3,160,71,29.1,23.6,1011,1011.9,,,5,0
5.2,0.4,0,100,8.8,5.1,1009.3,1018.6,,,10,1
5.5,3.5,290,72,6.5,0.8,1011.7,1016.6,,,9,1
-2.3,0.2,0,88,4.5,-4,1018,1021.8,,,0,0
26.4,2.6,270,85,29.1,23.6,999.1,1005.7,0,0.26,10,1
16.1,1,340,88,16.1,14.1,1010.4,1021.8,,,10,1
13.7,1,360,94,14.7,12.7,1007.2,1018.7,,,2,2
27.7,0.1,0,79,29.3,23.7,1010.5,1013.8,,,8,3
8.9,0.5,70,75,8.5,4.7,1017.6,1018.8,,,0,0
22.7,3,110,61,16.7,14.7,1005.6,1022,0.7,2.21,5,0
3.7,4.6,20,82,6.5,0.9,987.4,1014.6,0.1,0.05,8,1
17.8,3.9,70,87,17.7,15.6,1005.4,1015.5,0,0.3,10,1
6.2,1.1,290,85,8,3.8,999,999.5,,,10,1
16.6,6.1,70,89,16.7,14.7,1025.8,1026.3,0,0.09,10,1
-8.4,9.1,340,62,2,-14.3,1024.6,1029.4,,,8,4
14.3,4.1,90,74,12,9.7,1002,1010.2,0,0.32,10,1
3.3,4,270,94,7.3,2.4,993.8,1000.5,,,10,1
25.9,1.5,160,91,30.4,24.3,998.5,1007,0.4,1.72,10,1
22.3,1.7,360,94,25.2,21.2,1008.7,1016.9,,,10,1
8.9,1.6,20,87,9.9,6.8,1001.9,1007.3,,,0,2
26.5,4.9,200,80,27.6,22.7,990.3,997.9,0.1,0.23,10,1
10.6,0.6,160,65,8.2,4.2,1023.7,1024.1,1,1.2,4,2
-3,0.4,0,85,4.2,-5.2,993.5,1021.5,0,0.2,9,4
-0.9,12.8,340,63,3.6,-7,1019.6,1029.2,,,10,4
1.9,2.1,140,90,6.3,0.4,1012.2,1019.8,,,0,2
8.8,0.1,0,91,10.3,7.4,1018.2,1023.1,,,7,2
30.8,2.1,110,58,25.6,21.5,1006.5,1009.6,1,3.14,6,3
-6.9,0.3,0,75,2.8,-10.5,1003.6,1026,0.4,,0,0
14.4,1.4,200,28,4.6,-3.9,995.3,1013.1,,,6,3
17.3,4.8,250,44,8.7,4.9,1002.1,1002.6,,,0,2
23.6,0.6,320,80,23.2,19.9,1005.5,1011.5,,,3,0
6.7,1.6,90,19,1.9,-15.3,1013.6,1022.9,1,2.13,0,0
35.2,2.6,140,46,26.1,21.8,996.5,1002.9,0.9,0.64,0,0
10.4,5.9,160,68,8.5,4.7,1001.9,1006.2,1,1.67,8,2
11.7,5.2,180,80,10.9,8.3,1010.1,1015.5,0,0.33,10,3
23.2,2.7,50,74,21,18.3,1010.1,1013.3,0,0.41,10,1
9.4,3.7,230,64,7.5,2.9,1005.5,1015.9,0.2,1.07,9,2
11.1,2.4,360,62,8.1,4,1025.1,1027.6,0.7,,8,3
28.4,1.3,250,74,28.6,23.3,1006.9,1014.8,,,0,0
24,6.3,250,93,27.6,22.7,1004.9,1013.1,0,0.14,7,3
7.6,0,0,98,10.2,7.2,1020.5,1021.7,,,0,0
-10.9,1.4,290,57,1.5,-17.7,1000.5,1032.2,,,10,3
4.6,0.8,160,96,8.1,4,1011.7,1029.3,,,6,2
7.9,0.4,0,46,4.9,-3,1017.7,1018.1,,,6,3
7.4,1.8,160,78,8,3.8,1011,1015.9,,,0,2
21.4,2.4,90,80,20.2,17.7,1009.1,1016.8,,,10,1
-5.7,0.7,160,90,3.6,-7,1004.6,1031.6,0,0.01,0,0
9.1,1.2,290,51,5.9,-0.5,1020.8,1028,0.4,1.46,8,2
24.7,1.1,90,75,23.2,19.9,998.2,1003.6,0,,2,0
27.5,1.3,290,83,30.4,24.3,1005.3,1010.9,,,7,3
-9.3,0.8,180,40,1.2,-20.4,1009.5,1027.9,,,0,0
22,1.4,270,94,24.7,20.9,991.5,1000.1,,,10,1
27.4,0.4,0,83,30.2,24.2,992.7,1012,0,,6,3
15.4,5.1,270,54,9.4,6.1,1001.7,1003.8,0.2,1.42,8,3
16.7,8.4,180,99,18.8,16.5,999.4,1008.2,,,10,2
11.8,2.4,180,93,12.8,10.6,995.2,1005.4,,,5,2
1.2,1.5,110,90,6,-0.2,1017.4,1025.1,,,10,1
23.9,2.1,360,34,10,7,965.1,1010.7,1,,7,3
6.3,0.3,0,90,8.5,4.7,1009.8,1016.5,0,0.3,10,2
7.2,7.9,340,45,4.6,-3.9,1012.9,1022.2,0.9,2.22,6,3
16.7,4.9,140,32,6.1,0,1006.5,1011.3,1,2.43,0,0
